Index	Truth	Is_Accurate	ProbSen	Size	Sentence	Tree	RootEmbedding
1	0	1	0.21819324791431427	1	 1.	 (0 (0 1) (0 .))	[1.43636,0.0,0.0575331,0.0,0.597506,0.0,0.0229799,0.0,0.0,0.0,0.0,0.0,0.722887,0.0,0.963561,0.0,1.10108,0.0,0.0,1.05162,0.90281,0.0,0.0,0.0,0.0,0.0,0.0,0.124004,0.0,0.0,0.544051,0.0,1.13971,0.0,0.0,0.0852174,0.0533524,0.110802,0.0,0.0,0.0,0.0,0.0,0.0503756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180142,0.0613149,1.20484,0.229694,1.67823,0.0,0.0,0.0,1.27184,0.867205,0.0,0.0,0.0,0.0,0.0,1.20946,0.0,0.673626,0.0,0.0,0.0399209,0.37227,0.0,0.0,0.0,0.0651388,0.0843491,0.544682,0.0,0.131582,0.0,0.0,0.0,1.79144,0.508024,0.0,0.0,0.0,0.0,1.3395,0.0575634,0.0,0.267383,0.0,0.0,1.63841]
1	4	1	0.9096177220344543	33	 -LRB- 2 -RRB- Party A and Party B acknowledge and agree that Transfers of Termination Claims owing by Party A shall be effected in accordance with the terms of the Fiscal Agency Agreement.	 (4 (4 (4 -LRB-) (4 (4 (4 (4 2) (4 -RRB-)) (4 (4 Party) (4 (4 A) (4 (4 and) (4 (4 Party) (4 (4 B) (4 acknowledge))))))) (4 (4 and) (4 agree)))) (4 (4 (4 (4 that) (4 Transfers)) (4 (4 of) (4 (4 (4 Termination) (4 Claims)) (4 (4 owing) (4 (4 by) (4 Party)))))) (4 (4 A) (4 (4 (4 shall) (4 (4 be) (4 (4 effected) (4 (4 in) (4 (4 accordance) (4 (4 with) (4 (4 the) (4 (4 terms) (4 (4 of) (4 (4 the) (4 (4 Fiscal) (4 (4 Agency) (4 Agreement))))))))))))) (4 .)))))	[0.929908,0.0,0.0,0.0,0.198215,0.0,0.0,0.0,0.186231,0.0,0.0,0.0,0.931968,0.0,0.417829,0.0,0.296954,0.0,0.0,0.590929,0.625608,0.0,0.110142,0.0,0.0,0.0,0.0,0.37309,0.0,0.0,1.05689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77289,0.0,0.0,0.0,0.0,0.0900744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731,0.0,0.0781252,0.0,0.557904,0.0,0.0,0.0,0.331228,0.601711,0.0,0.0,0.0,0.0,0.0,0.447595,0.148079,0.89311,0.0,0.0,0.0,0.980021,0.036179,0.0,0.194848,0.0,0.1913,0.905782,0.0,0.7794,0.0,0.0,0.0,0.261356,0.879194,0.0,0.0,0.0,0.0,0.458456,0.0,0.0,0.0,0.161357,0.0,0.891197]
1	4	1	0.9490161538124084	22	 IN WITNESS WHEREOF, the parties hereto have duly executed this Fiscal Agency Agreement as of the date first set forth above.	 (4 (4 (4 IN) (4 (4 WITNESS) (4 (4 WHEREOF) (4 (4 ,) (4 (4 the) (4 (4 parties) (4 (4 hereto) (4 (4 have) (4 (4 duly) (4 executed)))))))))) (4 (4 (4 (4 (4 this) (4 (4 Fiscal) (4 (4 Agency) (4 Agreement)))) (4 (4 as) (4 (4 of) (4 (4 the) (4 date))))) (4 (4 first) (4 set))) (4 (4 (4 forth) (4 above)) (4 .))))	[0.969736,0.0,0.0,0.0,0.106238,0.0,0.0,0.0,0.0143127,0.0,0.0,0.0,1.01292,0.0,0.441895,0.0,0.32665,0.0,0.0,0.636949,0.642829,0.0,0.296681,0.0,0.0,0.0,0.0,0.448201,0.0,0.0,0.985969,0.0,0.0,0.0,0.0,0.0250837,0.0,0.0,0.829941,0.0677163,0.0,0.0,0.0,0.0,0.341293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901235,0.0,0.279106,0.0,0.778857,0.0,0.0,0.0,0.361662,0.377414,0.0,0.0,0.0,0.0,0.0,0.207612,0.0235093,0.68288,0.0,0.0,0.0,1.02219,0.0,0.0,0.235931,0.0,0.122689,1.01657,0.0,0.85668,0.217636,0.0,0.0,0.313571,0.852945,0.0,0.0,0.0,0.0,0.249332,0.0,0.0,0.0,0.151751,0.0,0.827037]
1	4	1	1.0	8	 In effect, the investor is long hydrocarbons.	 (4 (4 In) (4 (4 effect) (4 (4 ,) (4 (4 (4 the) (4 investor)) (4 (4 (4 is) (4 (4 long) (4 hydrocarbons))) (4 .))))))	[2.07546,0.0,0.0,2.26915,0.0,0.0,0.0,0.0,6.83895,0.626583,0.0,0.0,0.0,0.0,0.0,2.17,2.89485,17.4678,0.0,3.20888,0.866195,0.0,12.901,0.0,0.0,0.0,0.0,0.848757,0.0,0.0,0.0553829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466269,13.455,0.0,0.0,0.0,0.30359,2.71521,0.0,0.0,12.9288,4.84176,0.0,2.7977,0.0,0.0,0.0,0.32618,2.31493,2.23515,6.55033,0.0,1.82012,0.0,0.0,0.0,4.70799,0.0,0.0,12.325,1.11683,2.62063,0.0,0.0,0.0481229,2.4853,6.94675,5.69224,0.0,12.7291,1.40252,0.0,2.59608,4.88121,0.0,0.831184,0.155686,0.0,0.0,1.70189,0.151877,0.0,0.32302,0.0,0.367418,0.0,9.68425,8.76419,1.6145]
1	0	1	0.2643806040287018	1	 4.	 (0 (0 4) (0 .))	[1.23289,0.0,0.0,0.0,0.538873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928675,0.0,0.891681,0.0,0.845934,0.0,0.0,0.99034,0.758931,0.0,0.0,0.0,0.0,0.0,0.0326418,0.0,0.0,0.0,0.541836,0.0,1.00794,0.0,0.0,0.0144215,0.0,0.0320658,0.0,0.0,0.0802501,0.0,0.0,0.0505696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776508,0.00674088,1.21407,0.0497154,1.61478,0.0,0.0,0.0,1.14295,0.85196,0.0,0.0,0.0201823,0.0,0.0,1.10399,0.0,0.575517,0.0,0.0,0.0933537,0.291306,0.0,0.0,0.0,0.0,0.0,0.715113,0.0,0.328288,0.0,0.0,0.0,1.81931,0.460447,0.0101864,0.0,0.0,0.0,1.23434,0.0529589,0.0,0.135317,0.0318891,0.0,1.73608]
1	0	1	0.35963091254234314	1	 TX/.	 (0 (0 TX/) (0 .))	[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835338,0.0,1.1745,0.0,0.521619,0.0,0.0,1.88008,0.712655,0.0,0.0,0.0,0.0,0.0,0.0,0.000428881,0.0,0.0,0.323739,0.0,0.681067,0.0,0.0,0.161265,0.0,0.0,0.279458,0.0,0.0,0.0543117,0.0804926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523618,0.0,0.533739,0.0,2.31239,0.0,0.0,0.0,1.50187,1.84907,0.0,0.0,0.0,0.0,0.0,1.41566,0.0,1.41144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625973,0.0,0.648256,0.0,0.1324,0.0,2.00363,1.3861,0.0,0.0,0.0,0.0,1.03602,0.177705,0.0,0.556914,0.0681119,0.0,1.54603]
1	4	1	1.0	21	 The operational audit process focuses on the performance of the asset operationally as opposed to the performance of the asset financially.	 (4 (4 (4 (4 The) (4 operational)) (4 (4 audit) (4 (4 (4 process) (4 focuses)) (4 (4 on) (4 (4 the) (4 performance)))))) (4 (4 of) (4 (4 (4 the) (4 asset)) (4 (4 operationally) (4 (4 (4 as) (4 (4 opposed) (4 (4 to) (4 (4 (4 (4 the) (4 performance)) (4 (4 of) (4 (4 the) (4 asset)))) (4 financially))))) (4 .))))))	[3.80615,0.0,0.0,6.99907,0.0,0.0,0.0,0.0,19.5487,3.5797,0.0,0.0,0.0,0.0,0.0,5.58768,5.56843,47.9078,0.0,6.30349,1.38396,0.0,37.1893,0.0,0.0,0.0,0.0,1.1577,0.0,0.0,0.140412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03843,37.5469,2.1965,0.0,0.0,2.7725,7.73389,0.0,0.0,37.6248,15.1153,0.0,6.21765,0.0,0.0,0.0,0.0,6.15655,6.79779,20.8833,0.0,2.13792,0.0,0.0,0.0,16.838,0.0,0.0,34.3745,2.91299,7.08527,0.0,0.0,0.0,8.43327,20.0063,19.1827,0.0,36.6711,4.46156,0.0,8.03769,13.6479,0.0,2.30082,0.0,0.0,0.0,4.21358,1.64609,0.0,0.0,0.0,3.4685,0.0,29.1173,23.9211,2.27105]
1	0	1	0.22416162490844727	73	 be subject to the following: -LRB- a -RRB- Guarantors liability hereunder shall be and is specifically limited to payments expressly required to be made under the Contract -LRB- even if such payments are deemed to be damages -RRB- and, except to the extent specifically be subject hereunder to consequential, exemplary, equitable, loss of profits, punitive, tort, or any other damages, costs, or attorneys fees.	 (0 (0 (0 be) (0 (0 subject) (0 (0 to) (0 (0 the) (0 (0 following) (0 (0 :) (0 (0 -LRB-) (0 (0 a) (0 (0 -RRB-) (0 Guarantors)))))))))) (0 (0 (0 (0 liability) (0 hereunder)) (0 (0 shall) (0 (0 be) (0 (0 and) (0 (0 is) (0 (0 specifically) (0 limited))))))) (0 (0 (0 to) (0 (0 payments) (0 (0 expressly) (0 (0 required) (0 (0 to) (0 (0 be) (0 (0 made) (0 (0 under) (0 the))))))))) (0 (0 (0 Contract) (0 (0 -LRB-) (0 (0 even) (0 (0 (0 if) (0 (0 such) (0 payments))) (0 (0 are) (0 (0 deemed) (0 to))))))) (0 (0 (0 be) (0 (0 damages) (0 (0 -RRB-) (0 (0 and) (0 (0 ,) (0 (0 (0 except) (0 (0 to) (0 (0 the) (0 extent)))) (0 specifically))))))) (0 (0 (0 be) (0 (0 (0 subject) (0 hereunder)) (0 (0 to) (0 (0 (0 consequential) (0 (0 ,) (0 (0 exemplary) (0 ,)))) (0 equitable,))))) (0 (0 loss) (0 (0 (0 of) (0 profits)) (0 (0 ,) (0 (0 punitive) (0 (0 ,) (0 (0 tort) (0 (0 ,) (0 (0 or) (0 (0 (0 any) (0 (0 other) (0 damages))) (0 (0 ,) (0 (0 (0 costs) (0 (0 (0 ,) (0 (0 or) (0 attorneys))) (0 fees))) (0 .))))))))))))))))))	[0.995343,0.0,0.0246864,0.0,0.204876,0.0,0.0520873,0.0,0.0,0.0,0.0,0.0254093,1.11737,0.0547794,0.4087,0.0,0.110849,0.0,0.0,0.539037,0.80262,0.0,0.0,0.0,0.0331839,0.0,0.0,0.334434,0.0,0.0,1.01585,0.0,0.0,0.0,0.0,0.140129,0.0,0.0,0.755089,0.00700781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0171,0.0,0.264767,0.0,0.788197,0.0,0.0,0.0,0.278849,0.49473,0.0,0.0,0.0,0.0,0.0,0.400412,0.0,0.923907,0.0,0.117019,0.0,0.955477,0.0,0.0,0.0,0.0675191,0.0,1.05195,0.0,0.713937,0.0,0.0779857,0.0,0.330573,0.942095,0.0,0.0,0.0,0.0,0.340555,0.0,0.0,0.0,0.0,0.0,1.02471]
1	4	1	0.859451949596405	54	 Confirmation enclosed for that purpose and returning it to us or by sending to us a letter substantially similar to this letter within three Business Days after the date first above written, which letter sets forth the material terms of the Transaction to which this Confirmation relates and indicates agreement to those terms.	 (4 (4 (4 Confirmation) (4 (4 enclosed) (4 (4 (4 for) (4 (4 that) (4 purpose))) (4 (4 and) (4 returning))))) (4 (4 (4 it) (4 (4 to) (4 (4 us) (4 (4 or) (4 (4 by) (4 (4 sending) (4 (4 to) (4 (4 us) (4 (4 (4 a) (4 letter)) (4 substantially)))))))))) (4 (4 (4 similar) (4 (4 to) (4 (4 (4 (4 this) (4 letter)) (4 (4 within) (4 three))) (4 (4 (4 Business) (4 Days)) (4 after))))) (4 (4 (4 (4 the) (4 date)) (4 (4 first) (4 (4 above) (4 (4 written) (4 (4 ,) (4 (4 (4 which) (4 letter)) (4 (4 sets) (4 forth)))))))) (4 (4 (4 (4 the) (4 material)) (4 (4 terms) (4 (4 (4 of) (4 (4 (4 the) (4 Transaction)) (4 (4 to) (4 which)))) (4 this)))) (4 (4 (4 Confirmation) (4 relates)) (4 (4 and) (4 (4 (4 indicates) (4 (4 agreement) (4 (4 to) (4 (4 those) (4 terms))))) (4 .)))))))))	[1.04396,0.0,0.0,0.0,0.0934965,0.0,0.0,0.0,0.165967,0.0,0.0,0.0,0.826156,0.0,0.242466,0.0,0.254107,0.0,0.0,0.643711,0.913555,0.0,0.297941,0.0,0.0,0.0,0.0,0.367733,0.0,0.0,0.7894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73913,0.0,0.0,0.0,0.0,0.112932,0.0582235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922322,0.0,0.328646,0.0,0.713906,0.0,0.0,0.0,0.39988,0.436476,0.0,0.0,0.0,0.0,0.0,0.504666,0.143751,0.774043,0.0,0.0,0.0,0.845008,0.0,0.0,0.0374004,0.0,0.0928375,1.0023,0.0,0.736071,0.114036,0.0,0.0,0.220869,1.00816,0.0,7.62939e-05,0.0,0.0,0.130216,0.0,0.0,0.0,0.0,0.0,0.970891]
1	4	1	1.0	49	 The Fiscal Agent may consult with counsel, accountants or other experts and the advice of such counsel, accountants or other experts shall be full and complete authorization and protection in respect of any action taken or omitted by it hereunder in good faith and in reliance thereon.	 (4 (4 (4 (4 The) (4 (4 Fiscal) (4 Agent))) (4 (4 may) (4 (4 consult) (4 (4 with) (4 (4 counsel) (4 (4 ,) (4 accountants))))))) (4 (4 (4 or) (4 (4 (4 other) (4 experts)) (4 (4 and) (4 (4 (4 the) (4 advice)) (4 (4 of) (4 (4 (4 such) (4 counsel)) (4 (4 ,) (4 accountants)))))))) (4 (4 (4 (4 or) (4 (4 other) (4 experts))) (4 (4 shall) (4 (4 be) (4 (4 full) (4 (4 and) (4 (4 complete) (4 authorization))))))) (4 (4 (4 (4 and) (4 (4 protection) (4 (4 in) (4 (4 respect) (4 (4 of) (4 (4 any) (4 action))))))) (4 (4 taken) (4 (4 or) (4 omitted)))) (4 (4 by) (4 (4 it) (4 (4 (4 hereunder) (4 (4 in) (4 (4 (4 good) (4 faith)) (4 (4 and) (4 (4 in) (4 (4 reliance) (4 thereon))))))) (4 .))))))))	[1.3028,0.0,0.0,0.585598,0.0,0.0,0.0,0.0,1.75156,0.0467749,0.0,0.0,0.68931,0.0,0.286251,0.0109656,0.661113,2.15785,0.0,0.729727,1.00569,0.0,3.61383,0.0,0.0,0.0,0.0,0.408991,0.0,0.0,0.695666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522853,0.0,0.0,0.0,0.0,2.13579,2.03666,0.0,0.0,0.0,0.625879,0.0,0.0,1.88569,1.41526,0.0,1.17853,0.0,0.0158423,0.0,0.660544,0.666394,1.16884,2.58369,0.52331,0.337586,0.0,0.0,0.0,0.261258,0.0,0.524791,2.16822,1.06375,0.0,0.0,0.0,0.803047,0.0,1.37321,2.51711,0.0,2.99453,1.38608,0.0,1.47927,0.973326,0.0,0.0,0.214239,0.880603,0.0,0.0,0.0,0.0,0.33747,0.0,1.40388,0.0,2.68217,0.655263,0.820032]
