Index	Truth	Is_Accurate	ProbSen	Size	Sentence	Tree	RootEmbedding
1	4	1	1.0	29	 Evidently, model development is an ongoing process, and the models developed for deals a few years ago are significantly different than models developed for deals done last quarter.	 (4 (4 (4 (4 Evidently) (4 (4 ,) (4 (4 model) (4 development)))) (4 (4 is) (4 (4 an) (4 (4 ongoing) (4 process,))))) (4 (4 (4 (4 and) (4 (4 the) (4 (4 models) (4 (4 developed) (4 (4 for) (4 (4 deals) (4 (4 a) (4 (4 few) (4 years))))))))) (4 ago)) (4 (4 (4 are) (4 (4 (4 (4 (4 significantly) (4 different)) (4 (4 than) (4 (4 models) (4 (4 developed) (4 for))))) (4 deals)) (4 (4 done) (4 (4 last) (4 quarter))))) (4 .))))	[14.7189,0.0,0.0,64.8763,0.0,0.0,0.0,0.0,95.2502,6.77953,0.0,0.0,0.0,0.0,7.93965,6.09707,15.5868,245.889,0.0,22.084,31.1161,0.0,220.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03467,6.72162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.006,0.0,0.0,0.0,1.5835,11.5929,0.0,19.5495,223.254,78.8607,0.0,14.8053,0.0,0.0,0.0,0.0,45.6372,16.763,103.963,6.03551,17.8424,0.0,0.0,0.0,58.199,0.0,0.0,201.925,18.8841,20.9945,0.0,0.0,0.0,7.20444,55.0705,107.652,0.0,191.372,26.759,0.0,25.237,49.8587,0.0,0.0,0.0,2.86986,6.39485,3.37528,4.98311,0.0,11.9467,0.0,21.3188,0.0,201.857,143.099,0.0]
1	4	1	1.0	136	 W I T N E S S E T H: WHEREAS, Citibank, N.A., a national banking association -LRB- Counterparty -RRB-, and ENRON NORTH AMERICA CORP. -LRB- formerly known as Enron Capital -AMP- Trade Resources Corp. -RRB- -LRB- Enron -RRB-, a wholly owned subsidiary of Guarantor, have entered into a Transaction -LRB- as defined in the Contract defined below -RRB- pursuant to a Confirmation Agreement dated June __, 2001 executed by the Counterparty and Enron -LRB- the Swap Transaction Confirmation -RRB- under the ISDA Master Agreement dated November 17, 1992 between the Counterparty and Enron -LRB- such Agreement -LRB- including the Swap Transaction Confirmation -RRB- as the same may from time to time be modified, amended and supplemented, shall be referred to herein as the Contract -RRB-; and.	 (4 (4 (4 W) (4 (4 I) (4 (4 (4 T) (4 (4 N) (4 (4 E) (4 (4 S) (4 (4 S) (4 (4 E) (4 (4 T) (4 H)))))))) (4 (4 :) (4 (4 WHEREAS) (4 (4 ,) (4 (4 Citibank) (4 (4 ,) (4 (4 N.A.) (4 (4 ,) (4 (4 a) (4 national)))))))))))) (4 (4 (4 (4 banking) (4 association)) (4 (4 -LRB-) (4 (4 Counterparty) (4 (4 -RRB-) (4 (4 ,) (4 (4 and) (4 ENRON))))))) (4 (4 (4 NORTH) (4 (4 AMERICA) (4 (4 CORP.) (4 (4 -LRB-) (4 (4 formerly) (4 (4 known) (4 (4 as) (4 (4 Enron) (4 Capital))))))))) (4 (4 (4 -AMP-) (4 (4 (4 Trade) (4 (4 Resources) (4 Corp.))) (4 (4 -RRB-) (4 (4 -LRB-) (4 (4 Enron) (4 -RRB-,)))))) (4 (4 (4 (4 a) (4 (4 (4 wholly) (4 (4 owned) (4 subsidiary))) (4 (4 of) (4 (4 (4 Guarantor) (4 ,)) (4 have))))) (4 entered)) (4 (4 (4 into) (4 (4 (4 a) (4 Transaction)) (4 (4 -LRB-) (4 (4 as) (4 (4 defined) (4 (4 in) (4 (4 the) (4 Contract)))))))) (4 (4 (4 defined) (4 (4 below) (4 (4 (4 -RRB-) (4 pursuant)) (4 (4 to) (4 (4 a) (4 (4 Confirmation) (4 Agreement))))))) (4 (4 (4 dated) (4 (4 (4 June) (4 (4 __) (4 (4 ,) (4 2001)))) (4 (4 executed) (4 (4 by) (4 (4 the) (4 (4 Counterparty) (4 and))))))) (4 (4 (4 Enron) (4 (4 -LRB-) (4 (4 (4 the) (4 (4 Swap) (4 (4 Transaction) (4 Confirmation)))) (4 -RRB-)))) (4 (4 (4 (4 under) (4 (4 (4 the) (4 ISDA)) (4 (4 Master) (4 Agreement)))) (4 (4 dated) (4 (4 November) (4 17,)))) (4 (4 (4 (4 1992) (4 (4 between) (4 (4 (4 the) (4 Counterparty)) (4 (4 and) (4 (4 Enron) (4 -LRB-)))))) (4 such)) (4 (4 (4 Agreement) (4 (4 -LRB-) (4 (4 including) (4 (4 the) (4 (4 Swap) (4 (4 Transaction) (4 Confirmation))))))) (4 (4 (4 -RRB-) (4 (4 (4 as) (4 (4 the) (4 same))) (4 (4 may) (4 (4 (4 from) (4 (4 time) (4 (4 to) (4 time)))) (4 (4 be) (4 modified,)))))) (4 (4 amended) (4 (4 and) (4 (4 supplemented) (4 (4 ,) (4 (4 (4 shall) (4 (4 be) (4 (4 referred) (4 (4 to) (4 (4 (4 herein) (4 (4 as) (4 (4 the) (4 (4 (4 Contract) (4 -RRB-)) (4 ;))))) (4 and)))))) (4 .)))))))))))))))))))	[11390.3,0.0,0.0,29882.6,0.0,0.0,0.0,0.0,74593.0,14412.1,0.0,0.0,0.0,0.0,0.0,23034.6,20571.0,190922.0,0.0,22695.9,1356.75,0.0,144747.0,0.0,0.0,0.0,0.0,2943.4,0.0,0.0,0.0,0.0,0.0,0.0,1243.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15764.1,150445.0,302.848,0.0,0.0,11332.9,28574.6,0.0,0.0,148771.0,55647.1,0.0,20179.1,0.0,0.0,0.0,0.0,24757.3,21054.3,76624.2,0.0,8567.58,0.0,0.0,0.0,64214.6,0.0,0.0,138824.0,8317.68,28965.7,0.0,0.0,0.0,31297.7,75382.7,73675.3,0.0,140970.0,11713.5,0.0,27167.9,51449.9,0.0,9762.66,0.0,0.0,0.0,16842.2,9925.17,282.568,0.0,0.0,9106.44,0.0,113762.0,97134.4,7764.01]
1	0	1	0.35963091254234314	1	 Hyspan.	 (0 (0 Hyspan) (0 .))	[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835338,0.0,1.1745,0.0,0.521619,0.0,0.0,1.88008,0.712655,0.0,0.0,0.0,0.0,0.0,0.0,0.000428881,0.0,0.0,0.323739,0.0,0.681067,0.0,0.0,0.161265,0.0,0.0,0.279458,0.0,0.0,0.0543117,0.0804926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523618,0.0,0.533739,0.0,2.31239,0.0,0.0,0.0,1.50187,1.84907,0.0,0.0,0.0,0.0,0.0,1.41566,0.0,1.41144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625973,0.0,0.648256,0.0,0.1324,0.0,2.00363,1.3861,0.0,0.0,0.0,0.0,1.03602,0.177705,0.0,0.556914,0.0681119,0.0,1.54603]
1	4	0	0.37421008944511414	42	 Notice given by telegram or telecopier shall be effective upon actual receipt if received during the recipients normal business hours, or at the beginning of the recipients next business day after receipt if not received during the recipients normal business hours.	 (4 (4 (4 Notice) (4 (4 given) (4 (4 (4 by) (4 telegram)) (4 (4 or) (4 (4 telecopier) (4 (4 shall) (4 (4 be) (4 effective)))))))) (4 (4 (4 (4 upon) (4 (4 actual) (4 receipt))) (4 (4 if) (4 (4 received) (4 (4 during) (4 (4 the) (4 recipients)))))) (4 (4 (4 normal) (4 (4 business) (4 (4 hours) (4 (4 ,) (4 (4 or) (4 (4 at) (4 (4 (4 the) (4 beginning)) (4 (4 of) (4 (4 the) (4 recipients)))))))))) (4 (4 (4 next) (4 (4 business) (4 day))) (4 (4 after) (4 (4 receipt) (4 (4 if) (4 (4 (4 not) (4 (4 received) (4 (4 during) (4 (4 (4 the) (4 recipients)) (4 (4 normal) (4 (4 business) (4 hours))))))) (4 .)))))))))	[0.866275,0.0,0.0,0.0,0.069179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913832,0.0,0.384269,0.0,0.255143,0.0,0.0,0.437215,0.865151,0.0,0.0,0.0,0.0,0.0,0.0,0.483435,0.0,0.00628402,0.887764,0.0,0.0,0.0,0.0,0.121074,0.0,0.0,0.688841,0.0,0.0,0.0,0.0,0.0,0.00472012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955979,0.0,0.254438,0.0,0.614012,0.0813631,0.0,0.0,0.473695,0.333994,0.0,0.0,0.0,0.0,0.0,0.286864,0.0,0.664237,0.0,0.0,0.0,0.941822,0.0,0.0,0.0,0.0,0.0,1.0708,0.0,0.824094,0.0,0.0,0.0,0.26518,0.935163,0.0,0.0375513,0.0,0.0,0.453259,0.0,0.0,0.0,0.0,0.0,0.906664]
1	4	1	1.0	18	 To that end, several prototypes have been developed, and a number of different strategies put forth.	 (4 (4 To) (4 (4 (4 that) (4 (4 end) (4 (4 ,) (4 (4 several) (4 prototypes))))) (4 (4 have) (4 (4 been) (4 (4 developed) (4 (4 ,) (4 (4 and) (4 (4 (4 (4 a) (4 number)) (4 (4 of) (4 (4 different) (4 strategies)))) (4 (4 (4 put) (4 forth)) (4 .))))))))))	[100.494,0.0,0.0,259.128,0.0,0.0,0.0,0.0,647.317,124.655,0.0,0.0,0.0,0.0,0.0,198.884,179.607,1656.02,0.0,197.484,12.8245,0.0,1256.31,0.0,0.0,0.0,0.0,25.1359,0.0,0.0,0.0,0.0,0.0,0.0,10.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.341,1305.35,1.39127,0.0,0.0,97.6229,246.759,0.0,0.0,1289.84,482.832,0.0,175.627,0.0,0.0,0.0,0.0,214.782,182.49,664.23,0.0,75.4704,0.0,0.0,0.0,556.02,0.0,0.0,1204.35,72.7016,250.214,0.0,0.0,0.0,270.329,653.043,638.123,0.0,1222.96,102.224,0.0,236.0,446.48,0.0,84.1215,0.0,0.0,0.0,145.21,84.3904,1.50094,0.0,0.0,78.3133,0.0,987.38,842.613,68.4032]
1	4	1	1.0	77	 Each Enron Party and each Claim Holder hereby irrevocably designates and appoints Deutsche Bank A.G. London Branch, to act as the Account Bank hereunder and under the other Fiscal Agency Documents and to perform such duties and powers as are -LRB- i -RRB- expressly required to be exercised or performed by the Account Bank hereunder and thereunder, -LRB- ii -RRB- directed by way of a Payment Order or -LRB- iii -RRB- reasonably incidental to the foregoing.	 (4 (4 (4 (4 (4 Each) (4 (4 Enron) (4 Party))) (4 (4 and) (4 (4 each) (4 (4 Claim) (4 Holder))))) (4 (4 hereby) (4 irrevocably))) (4 (4 (4 designates) (4 (4 and) (4 (4 (4 appoints) (4 (4 Deutsche) (4 Bank))) (4 (4 A.G.) (4 (4 London) (4 Branch,)))))) (4 (4 (4 to) (4 (4 act) (4 (4 (4 as) (4 (4 the) (4 (4 Account) (4 Bank)))) (4 (4 hereunder) (4 (4 and) (4 (4 under) (4 the))))))) (4 (4 (4 other) (4 (4 (4 Fiscal) (4 (4 Agency) (4 Documents))) (4 (4 and) (4 (4 to) (4 (4 perform) (4 (4 such) (4 duties))))))) (4 (4 (4 (4 and) (4 powers)) (4 (4 as) (4 (4 are) (4 (4 (4 -LRB-) (4 (4 i) (4 -RRB-))) (4 (4 expressly) (4 required)))))) (4 (4 (4 to) (4 (4 be) (4 (4 exercised) (4 (4 or) (4 (4 performed) (4 (4 by) (4 (4 the) (4 (4 Account) (4 (4 Bank) (4 hereunder)))))))))) (4 (4 (4 (4 (4 and) (4 thereunder)) (4 (4 ,) (4 (4 -LRB-) (4 (4 ii) (4 -RRB-))))) (4 (4 directed) (4 (4 by) (4 (4 way) (4 (4 of) (4 a)))))) (4 (4 (4 Payment) (4 Order)) (4 (4 or) (4 (4 (4 -LRB-) (4 (4 iii) (4 -RRB-))) (4 (4 reasonably) (4 (4 (4 incidental) (4 (4 to) (4 (4 the) (4 foregoing)))) (4 .)))))))))))))	[153.798,0.0,0.0,406.779,0.0,0.0,0.0,0.0,1004.74,190.788,0.0,0.0,0.0,0.0,0.0,303.917,274.003,2563.63,0.0,302.849,22.4323,0.0,1950.89,0.0,0.0,0.0,0.0,34.79,0.0,0.0,0.0,0.0,0.0,0.0,12.1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.02,2024.2,3.01884,0.0,0.0,149.038,379.115,0.0,0.0,2000.55,747.983,0.0,269.232,0.0,0.0,0.0,0.0,332.918,281.603,1031.34,0.0,116.464,0.0,0.0,0.0,859.755,0.0,0.0,1866.96,113.201,385.804,0.0,0.0,0.0,414.982,1005.91,992.46,0.0,1896.19,160.058,0.0,364.412,688.427,0.0,127.397,0.0,0.0,0.0,222.896,131.634,0.559568,0.0,0.0,124.586,0.0,1536.67,1307.06,101.287]
1	4	1	1.0	25	 This incorporates the credit risk associated with vendors, particularly software vendors, that Enron is dependent upon, as well as incorporating the bankruptcy option.	 (4 (4 (4 This) (4 (4 (4 incorporates) (4 (4 the) (4 credit))) (4 (4 risk) (4 (4 associated) (4 (4 with) (4 vendors,)))))) (4 (4 (4 particularly) (4 (4 (4 (4 (4 software) (4 vendors)) (4 ,)) (4 (4 that) (4 Enron))) (4 (4 is) (4 dependent)))) (4 (4 upon) (4 (4 ,) (4 (4 (4 (4 as) (4 (4 well) (4 as))) (4 (4 incorporating) (4 (4 the) (4 (4 bankruptcy) (4 option))))) (4 .))))))	[1.33367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504701,0.0,0.0,0.0,0.735151,0.0,0.501211,0.0,0.377623,1.96263,0.310525,1.16503,1.06693,0.0,1.14959,0.0,0.0,0.0,0.0,0.58966,0.0,0.0,1.05655,0.210437,0.0,0.0,0.328901,0.0,0.0,0.0,0.661454,0.0,0.0,0.0,0.0,3.08406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55791,0.276857,0.0,1.31869,0.0,0.443171,0.0,1.03652,1.01925,0.0,0.0,0.0,1.08275,0.55502,0.0,0.0,0.0,0.0,0.267155,2.17593,1.03601,0.436351,0.0,0.0,0.7253,0.0,0.0,0.0,0.0,0.742149,1.13384,0.0,1.41861,0.343512,0.0,0.316923,0.425846,0.730838,0.0,0.0425157,0.0,0.0,0.275261,0.0,0.0,0.0,0.636987,0.605188,1.20579]
1	4	1	1.0	26	 Elektro Demand Profile 0 2,000 4,000 6,000 8,000 10,000 12,000 14,000 16,000 18,000 20,000 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010.	 (4 (4 (4 (4 Elektro) (4 Demand)) (4 (4 Profile) (4 (4 0) (4 (4 2,000) (4 (4 4,000) (4 (4 6,000) (4 (4 8,000) (4 (4 10,000) (4 (4 12,000) (4 (4 14,000) (4 (4 16,000) (4 (4 18,000) (4 (4 20,000) (4 (4 1999) (4 (4 2000) (4 (4 2001) (4 (4 2002) (4 (4 2003) (4 (4 2004) (4 (4 2005) (4 (4 2006) (4 (4 2007) (4 (4 2008) (4 (4 2009) (4 2010))))))))))))))))))))))))) (4 .))	[3.45809e+07,0.0,0.0,0.0,435296.0,0.0,0.0,0.0,2.4479e+08,0.0,0.0,0.0,2.5123e+06,0.0,0.0,0.0,2.74717e+06,0.0,0.0,3.21672e+07,4.92879e+07,0.0,4.63092e+08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71753e+07,0.0,0.0,0.0,3.60505e+07,0.0,7.32886e+08,0.0,0.0,4.6283e+06,7.6477e+07,0.0,0.0,2.51681e+08,2.80094e+08,2.09307e+07,1.34417e+07,0.0,3.43514e+07,0.0,5.69901e+07,0.0,3.18332e+08,5.7369e+08,9.78926e+06,0.0,0.0,0.0,0.0,1.14678e+08,6.16312e+07,0.0,0.0,4.54171e+07,7.09964e+06,0.0,0.0,0.0,1.56347e+08,1.90158e+08,5.93026e+08,0.0,5.24966e+08,5.24749e+07,0.0,9.93565e+07,1.4087e+08,0.0,0.0,0.0,1.94783e+07,0.0,0.0,7.12851e+07,0.0,3.27724e+07,0.0,5.00174e+08,3.58207e+07,5.77863e+08,0.0,0.0]
1	4	1	1.0	21	 The commercial market exchange rates are applicable to foreign exchange agreements referring to remittances of currency in connection with hedge transactions.	 (4 (4 (4 (4 (4 The) (4 (4 commercial) (4 market))) (4 (4 exchange) (4 rates))) (4 (4 are) (4 applicable))) (4 (4 (4 (4 to) (4 (4 foreign) (4 (4 exchange) (4 agreements)))) (4 (4 referring) (4 (4 to) (4 remittances)))) (4 (4 of) (4 (4 (4 (4 currency) (4 (4 in) (4 connection))) (4 (4 with) (4 (4 hedge) (4 transactions)))) (4 .)))))	[1.3065,0.0,0.0,0.73582,0.0,0.0,0.0,0.0,1.27637,0.0,0.0,0.0,0.626517,0.0,0.487334,0.0,0.616784,3.22624,0.0,1.0144,1.13389,0.0,3.2454,0.0,0.0,0.0,0.0,0.254619,0.0,0.0,1.15959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46725,0.0,0.0,0.0,0.0,3.4374,0.0,0.0,0.0,0.0,0.483029,0.0,0.0,2.51161,0.929758,0.0,1.52747,0.0,0.0691478,0.0,0.619962,0.97806,0.294343,1.33997,0.356219,0.578011,0.0,0.0,0.0,0.371583,0.0,0.373808,2.9846,0.865984,0.276692,0.0,0.0,0.924217,0.160861,1.20843,1.32093,0.0,2.53012,1.45868,0.0,1.48015,0.916844,0.0,0.0,0.432055,0.808037,0.0,0.0561646,0.0,0.0,0.570194,0.0,0.0,0.0,2.20891,1.58566,0.924481]
1	0	1	0.2608746886253357	1	 5.	 (0 (0 5) (0 .))	[1.18364,0.0,0.0187253,0.0,0.539332,0.0,0.0149943,0.0,0.0,0.0,0.0,0.0,0.92645,0.0,0.873323,0.0,0.938504,0.0,0.0,1.06753,0.770557,0.0,0.0,0.0,0.0,0.0,0.0700738,0.0,0.0,0.0,0.666657,0.0,1.00435,0.0,0.0,0.0,0.0131162,0.0388363,0.0,0.0,0.126428,0.0,0.0,0.0380215,0.0,0.0201441,0.0,0.0,0.00596352,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,1.1444,0.0595346,1.74207,0.0,0.0,0.0,1.13017,0.886556,0.0,0.0,0.00906307,0.0,0.0,1.10433,0.0,0.535054,0.0,0.0,0.00570157,0.322867,0.0,0.0,0.0,0.0,0.0,0.743152,0.0,0.334473,0.0,0.0307213,0.0,1.7829,0.505509,0.00619694,0.0,0.0,0.0,1.17032,0.0141627,0.0,0.0864596,0.0614922,0.0,1.82677]
